Agent_ID,Route_ID,Shift_Hours,Avg_Speed_KM_HR,On_Time_Percentage
A001,R016,7,78,82.01
A002,R012,5,56,90.8
A003,R014,5,72,74.15
A004,R019,4,67,98.25
A005,R016,5,47,90.04
A006,R001,9,73,81.56
A007,R018,10,67,99.11
A008,R018,9,32,72.39
A009,R012,10,55,92.27
A010,R019,9,76,70.45
A011,R002,4,59,71.5
A012,R010,4,35,80.85
A013,R017,4,80,92.06
A014,R007,5,59,99.9
A015,R003,9,47,83.31
A016,R012,4,67,78.39
A017,R018,4,46,97.9
A018,R007,5,75,73.21
A019,R018,9,68,97.7
A020,R006,6,69,77.65
A021,R017,5,53,82.19
A022,R008,4,48,87.72
A023,R017,8,59,74.21
A024,R002,5,55,97.16
A025,R015,8,75,93.94
A026,R013,4,58,84.01
A027,R002,7,69,73.8
A028,R007,7,33,74.47
A029,R005,6,57,81.71
A030,R014,5,73,76.6
A031,R018,7,80,97.29
A032,R008,7,70,99.32
A033,R002,9,47,98.01
A034,R008,10,63,81.67
A035,R005,8,48,74.5
A036,R020,7,55,87.21
A037,R001,8,47,78.94
A038,R018,9,55,71.8
A039,R016,9,62,72.6
A040,R007,9,51,77.83
A041,R006,10,76,91.47
A042,R010,9,67,93.37
A043,R016,6,60,79.51
A044,R017,10,37,92.15
A045,R009,9,59,95.08
A046,R020,5,36,75.46
A047,R006,7,80,84.62
A048,R012,4,32,77.92
A049,R007,9,37,99.82
A050,R002,8,69,72.75
